,id,url,type,age,gender,size,coat,breed,photos,med_photos
0,46750356,https://www.petfinder.com/cat/amber-46750356/ky/hopkinsville/christian-county-animal-shelter-ky63/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Adult,Female,Large,,Calico,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46750356/1/?bust=1575454360&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46750356/1/?bust=1575454360&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46750356/1/?bust=1575454360&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46750356/1/?bust=1575454360'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46750356/1/?bust=1575454360&width=300']
1,46750282,https://www.petfinder.com/cat/patty-46750282/nv/las-vegas/nevada-society-for-the-prevention-of-cruelty-to-animals-nevada-spca-nv39/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Adult,Female,Medium,,Calico,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46750282/1/?bust=1575454222&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46750282/1/?bust=1575454222&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46750282/1/?bust=1575454222&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46750282/1/?bust=1575454222'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46750282/1/?bust=1575454222&width=300']
2,46749179,https://www.petfinder.com/cat/noel-46749179/nj/clayton/gloucester-county-animal-shelter-nj167/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Adult,Female,Medium,Short,Calico,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46749179/1/?bust=1575434327&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46749179/1/?bust=1575434327&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46749179/1/?bust=1575434327&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46749179/1/?bust=1575434327'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46749179/1/?bust=1575434327&width=300']
3,46747330,https://www.petfinder.com/cat/taffy-46747330/tx/addison/texas-little-cuties-tlc-rescue-tx1221/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Baby,Female,Medium,Short,Calico,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46747330/1/?bust=1575416189&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46747330/1/?bust=1575416189&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46747330/1/?bust=1575416189&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46747330/1/?bust=1575416189'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46747330/2/?bust=1575416206&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46747330/2/?bust=1575416206&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46747330/2/?bust=1575416206&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46747330/2/?bust=1575416206'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46747330/3/?bust=1575416221&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46747330/3/?bust=1575416221&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46747330/3/?bust=1575416221&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46747330/3/?bust=1575416221'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46747330/4/?bust=1575416241&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46747330/4/?bust=1575416241&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46747330/4/?bust=1575416241&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46747330/4/?bust=1575416241'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46747330/1/?bust=1575416189&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46747330/2/?bust=1575416206&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46747330/3/?bust=1575416221&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46747330/4/?bust=1575416241&width=300']"
4,46746777,https://www.petfinder.com/cat/amber-46746777/nj/stewartsville/feline-urban-rescue-and-rehab-inc-nj356/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Senior,Female,Medium,,Calico,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46746777/1/?bust=1575412915&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46746777/1/?bust=1575412915&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46746777/1/?bust=1575412915&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46746777/1/?bust=1575412915'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46746777/1/?bust=1575412915&width=300']
5,46746138,https://www.petfinder.com/cat/nadia-46746138/mn/alexandria/2nd-street-cats-mn477/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Adult,Female,Medium,,Calico,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46746138/1/?bust=1575410969&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46746138/1/?bust=1575410969&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46746138/1/?bust=1575410969&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46746138/1/?bust=1575410969'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46746138/1/?bust=1575410969&width=300']
6,46743106,https://www.petfinder.com/cat/luann-46743106/ga/jasper/pickens-animal-rescue-inc-ga12/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Adult,Female,Medium,Short,Calico,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46743106/1/?bust=1575396195&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46743106/1/?bust=1575396195&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46743106/1/?bust=1575396195&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46743106/1/?bust=1575396195'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46743106/1/?bust=1575396195&width=300']
