,id,url,type,age,gender,size,coat,breed,photos,med_photos
0,41282342,https://www.petfinder.com/cat/skye-41282342/tn/collierville/collierville-animal-services-tn167/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Adult,Female,Medium,Short,Russian Blue,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41282342/1/?bust=1522295384&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41282342/1/?bust=1522295384&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41282342/1/?bust=1522295384&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41282342/1/?bust=1522295384'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41282342/1/?bust=1522295384&width=300']
1,41273395,https://www.petfinder.com/cat/dolly-41273395/nc/marvin/animals-first-rescue-of-the-carolinas-nc848/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Adult,Female,Medium,Short,Russian Blue,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/5/?bust=1522202990&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/5/?bust=1522202990&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/5/?bust=1522202990&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/5/?bust=1522202990'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/1/?bust=1522202967&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/1/?bust=1522202967&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/1/?bust=1522202967&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/1/?bust=1522202967'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/2/?bust=1522202971&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/2/?bust=1522202971&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/2/?bust=1522202971&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/2/?bust=1522202971'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/3/?bust=1522202973&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/3/?bust=1522202973&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/3/?bust=1522202973&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/3/?bust=1522202973'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/4/?bust=1522202975&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/4/?bust=1522202975&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/4/?bust=1522202975&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/4/?bust=1522202975'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/5/?bust=1522202990&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/1/?bust=1522202967&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/2/?bust=1522202971&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/3/?bust=1522202973&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41273395/4/?bust=1522202975&width=300']"
2,41271411,https://www.petfinder.com/cat/max-41271411/pa/schnecksville/starting-over-animal-rescue-pa718/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Adult,Male,Medium,Short,Russian Blue,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271411/1/?bust=1522186261&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271411/1/?bust=1522186261&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271411/1/?bust=1522186261&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271411/1/?bust=1522186261'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271411/1/?bust=1522186261&width=300']
3,41271271,https://www.petfinder.com/cat/jerry-41271271/ne/grand-island/central-nebraska-humane-society-ne13/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Young,Male,Medium,Short,Russian Blue,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271271/2/?bust=1522185690&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271271/2/?bust=1522185690&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271271/2/?bust=1522185690&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271271/2/?bust=1522185690'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271271/1/?bust=1522185688&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271271/1/?bust=1522185688&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271271/1/?bust=1522185688&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271271/1/?bust=1522185688'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271271/3/?bust=1522185694&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271271/3/?bust=1522185694&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271271/3/?bust=1522185694&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271271/3/?bust=1522185694'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271271/4/?bust=1522185699&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271271/4/?bust=1522185699&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271271/4/?bust=1522185699&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271271/4/?bust=1522185699'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271271/2/?bust=1522185690&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271271/1/?bust=1522185688&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271271/3/?bust=1522185694&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41271271/4/?bust=1522185699&width=300']"
4,41262096,https://www.petfinder.com/cat/storm-41262096/tn/madison/healing-hearts-animal-rescue-tn484/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Adult,Female,Small,Short,Russian Blue,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41262096/1/?bust=1522074178&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41262096/1/?bust=1522074178&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41262096/1/?bust=1522074178&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41262096/1/?bust=1522074178'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41262096/1/?bust=1522074178&width=300']
5,41260073,https://www.petfinder.com/cat/avery-41260073/nc/smithfield/johnston-county-animal-services-nc292/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Young,Male,Large,Short,Russian Blue,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41260073/1/?bust=1522028620&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41260073/1/?bust=1522028620&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41260073/1/?bust=1522028620&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41260073/1/?bust=1522028620'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41260073/2/?bust=1522028622&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41260073/2/?bust=1522028622&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41260073/2/?bust=1522028622&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41260073/2/?bust=1522028622'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41260073/3/?bust=1522028623&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41260073/3/?bust=1522028623&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41260073/3/?bust=1522028623&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41260073/3/?bust=1522028623'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41260073/1/?bust=1522028620&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41260073/2/?bust=1522028622&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41260073/3/?bust=1522028623&width=300']"
6,41258158,https://www.petfinder.com/cat/shota-41258158/mn/mankato/blue-earth-nicollet-county-humane-society-mn133/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Young,Female,Medium,Short,Russian Blue,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41258158/1/?bust=1522014353&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41258158/1/?bust=1522014353&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41258158/1/?bust=1522014353&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41258158/1/?bust=1522014353'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/41258158/1/?bust=1522014353&width=300']
