,id,url,type,age,gender,size,coat,breed,photos,med_photos
0,46645488,https://www.petfinder.com/cat/cooper-46645488/nj/bridgewater/lost-paws-animal-rescue-nj507/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Young,Male,Medium,,Scottish Fold,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46645488/1/?bust=1574366115&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46645488/1/?bust=1574366115&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46645488/1/?bust=1574366115&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46645488/1/?bust=1574366115'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46645488/1/?bust=1574366115&width=300']
1,46628315,https://www.petfinder.com/cat/toffee-bear-46628315/nj/bridgewater/lost-paws-animal-rescue-nj507/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Adult,Male,Medium,Short,Scottish Fold,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46628315/1/?bust=1574214340&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46628315/1/?bust=1574214340&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46628315/1/?bust=1574214340&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46628315/1/?bust=1574214340'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46628315/1/?bust=1574214340&width=300']
2,46533599,https://www.petfinder.com/cat/bear-46533599/nj/bridgewater/lost-paws-animal-rescue-nj507/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Adult,Male,Medium,Short,Scottish Fold,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46533599/1/?bust=1573383533&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46533599/1/?bust=1573383533&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46533599/1/?bust=1573383533&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46533599/1/?bust=1573383533'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46533599/1/?bust=1573383533&width=300']
3,46486928,https://www.petfinder.com/cat/bibi-46486928/va/fairfax/helping-homeless-felines-va653/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Baby,Female,Small,Short,Scottish Fold,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46486928/4/?bust=1572991653&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46486928/4/?bust=1572991653&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46486928/4/?bust=1572991653&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46486928/4/?bust=1572991653'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46486928/1/?bust=1572991537&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46486928/1/?bust=1572991537&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46486928/1/?bust=1572991537&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46486928/1/?bust=1572991537'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46486928/2/?bust=1572991544&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46486928/2/?bust=1572991544&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46486928/2/?bust=1572991544&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46486928/2/?bust=1572991544'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46486928/3/?bust=1572991552&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46486928/3/?bust=1572991552&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46486928/3/?bust=1572991552&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46486928/3/?bust=1572991552'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46486928/4/?bust=1572991653&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46486928/1/?bust=1572991537&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46486928/2/?bust=1572991544&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46486928/3/?bust=1572991552&width=300']"
4,46448059,https://www.petfinder.com/cat/livie-46448059/tx/converse/south-texas-persian-rescue-tx512/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Young,Female,Medium,Short,Scottish Fold,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/1/?bust=1572629692&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/1/?bust=1572629692&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/1/?bust=1572629692&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/1/?bust=1572629692'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/2/?bust=1572629702&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/2/?bust=1572629702&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/2/?bust=1572629702&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/2/?bust=1572629702'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/3/?bust=1572629711&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/3/?bust=1572629711&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/3/?bust=1572629711&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/3/?bust=1572629711'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/4/?bust=1572629724&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/4/?bust=1572629724&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/4/?bust=1572629724&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/4/?bust=1572629724'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/5/?bust=1572629733&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/5/?bust=1572629733&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/5/?bust=1572629733&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/5/?bust=1572629733'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/1/?bust=1572629692&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/2/?bust=1572629702&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/3/?bust=1572629711&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/4/?bust=1572629724&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46448059/5/?bust=1572629733&width=300']"
5,46441380,https://www.petfinder.com/cat/frank-46441380/nj/atco/jersey-state-feline-fanciers-inc-nj447/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Adult,Male,Medium,Short,Scottish Fold,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46441380/1/?bust=1572562518&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46441380/1/?bust=1572562518&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46441380/1/?bust=1572562518&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46441380/1/?bust=1572562518'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46441380/2/?bust=1572562554&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46441380/2/?bust=1572562554&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46441380/2/?bust=1572562554&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46441380/2/?bust=1572562554'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46441380/1/?bust=1572562518&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46441380/2/?bust=1572562554&width=300']"
6,46280652,https://www.petfinder.com/cat/wafer-46280652/nj/bridgewater/lost-paws-animal-rescue-nj507/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Adult,Male,Medium,Medium,Scottish Fold,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46280652/1/?bust=1571161220&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46280652/1/?bust=1571161220&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46280652/1/?bust=1571161220&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46280652/1/?bust=1571161220'}]",['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46280652/1/?bust=1571161220&width=300']
