,id,url,type,age,gender,size,coat,breed,photos,med_photos
0,46169554,https://www.petfinder.com/cat/wiley-46169554/tx/austin/austin-siamese-rescue-tx1334/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Young,Male,Medium,,Siamese,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169554/1/?bust=1575401131&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169554/1/?bust=1575401131&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169554/1/?bust=1575401131&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169554/1/?bust=1575401131'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169554/3/?bust=1575401128&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169554/3/?bust=1575401128&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169554/3/?bust=1575401128&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169554/3/?bust=1575401128'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169554/2/?bust=1575401130&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169554/2/?bust=1575401130&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169554/2/?bust=1575401130&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169554/2/?bust=1575401130'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169554/1/?bust=1575401131&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169554/3/?bust=1575401128&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169554/2/?bust=1575401130&width=300']"
1,46169439,https://www.petfinder.com/cat/francine-46169439/tx/austin/austin-siamese-rescue-tx1334/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Senior,Female,Medium,,Siamese,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169439/1/?bust=1575212618&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169439/1/?bust=1575212618&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169439/1/?bust=1575212618&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169439/1/?bust=1575212618'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169439/3/?bust=1575212618&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169439/3/?bust=1575212618&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169439/3/?bust=1575212618&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169439/3/?bust=1575212618'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169439/2/?bust=1575212619&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169439/2/?bust=1575212619&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169439/2/?bust=1575212619&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169439/2/?bust=1575212619'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169439/1/?bust=1575212618&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169439/3/?bust=1575212618&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46169439/2/?bust=1575212619&width=300']"
2,46168767,https://www.petfinder.com/cat/jax-46168767/tx/austin/austin-siamese-rescue-tx1334/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Young,Male,Medium,,Siamese,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46168767/1/?bust=1575051637&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46168767/1/?bust=1575051637&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46168767/1/?bust=1575051637&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46168767/1/?bust=1575051637'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46168767/3/?bust=1575051637&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46168767/3/?bust=1575051637&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46168767/3/?bust=1575051637&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46168767/3/?bust=1575051637'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46168767/2/?bust=1575051637&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46168767/2/?bust=1575051637&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46168767/2/?bust=1575051637&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46168767/2/?bust=1575051637'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46168767/1/?bust=1575051637&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46168767/3/?bust=1575051637&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46168767/2/?bust=1575051637&width=300']"
3,46165562,https://www.petfinder.com/cat/footsie-46165562/tx/beaumont/beaumont-animal-care-tx1409/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Adult,Male,Medium,Short,Siamese,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/1/?bust=1570116139&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/1/?bust=1570116139&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/1/?bust=1570116139&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/1/?bust=1570116139'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/2/?bust=1570116143&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/2/?bust=1570116143&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/2/?bust=1570116143&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/2/?bust=1570116143'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/3/?bust=1570116182&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/3/?bust=1570116182&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/3/?bust=1570116182&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/3/?bust=1570116182'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/4/?bust=1570116189&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/4/?bust=1570116189&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/4/?bust=1570116189&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/4/?bust=1570116189'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/5/?bust=1570116204&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/5/?bust=1570116204&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/5/?bust=1570116204&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/5/?bust=1570116204'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/6/?bust=1570116300&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/6/?bust=1570116300&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/6/?bust=1570116300&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/6/?bust=1570116300'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/1/?bust=1570116139&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/2/?bust=1570116143&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/3/?bust=1570116182&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/4/?bust=1570116189&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/5/?bust=1570116204&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46165562/6/?bust=1570116300&width=300']"
4,46162290,https://www.petfinder.com/cat/lovey-46162290/ks/shawnee/divapets-cat-rescue-ks195/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Baby,Female,Medium,Short,Siamese,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46162290/1/?bust=1570074500&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46162290/1/?bust=1570074500&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46162290/1/?bust=1570074500&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46162290/1/?bust=1570074500'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46162290/2/?bust=1570074503&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46162290/2/?bust=1570074503&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46162290/2/?bust=1570074503&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46162290/2/?bust=1570074503'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46162290/3/?bust=1570074505&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46162290/3/?bust=1570074505&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46162290/3/?bust=1570074505&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46162290/3/?bust=1570074505'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46162290/4/?bust=1570074507&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46162290/4/?bust=1570074507&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46162290/4/?bust=1570074507&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46162290/4/?bust=1570074507'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46162290/1/?bust=1570074500&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46162290/2/?bust=1570074503&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46162290/3/?bust=1570074505&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46162290/4/?bust=1570074507&width=300']"
5,46158316,https://www.petfinder.com/cat/hannah-46158316/al/mobile/mobile-spca-al67/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Young,Female,Medium,Long,Siamese,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46158316/1/?bust=1570047179&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46158316/1/?bust=1570047179&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46158316/1/?bust=1570047179&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46158316/1/?bust=1570047179'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46158316/2/?bust=1570047187&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46158316/2/?bust=1570047187&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46158316/2/?bust=1570047187&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46158316/2/?bust=1570047187'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46158316/1/?bust=1570047179&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46158316/2/?bust=1570047187&width=300']"
6,46155048,https://www.petfinder.com/cat/olympia-46155048/fl/st-petersburg/cjpaws-inc-fl1629/?referrer_id=3830981a-ad4c-4f85-872c-ca9edc50a67e,Cat,Young,Female,Medium,Short,Siamese,"[{'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46155048/1/?bust=1570032903&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46155048/1/?bust=1570032903&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46155048/1/?bust=1570032903&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46155048/1/?bust=1570032903'}, {'small': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46155048/2/?bust=1570032909&width=100', 'medium': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46155048/2/?bust=1570032909&width=300', 'large': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46155048/2/?bust=1570032909&width=600', 'full': 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46155048/2/?bust=1570032909'}]","['https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46155048/1/?bust=1570032903&width=300', 'https://dl5zpyw5k3jeb.cloudfront.net/photos/pets/46155048/2/?bust=1570032909&width=300']"
